,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
f__28,-19.922538657727557,26.56910277533961,2.1543650407400614,-68.4846898769991,1.1887645667150817,1.637201295667983,1.7234505037893124
f__29,-28.174393248385325,35.738337806356334,2.8297053290208325,-97.94170636938912,1.0790281572740443,1.4808121573503557,1.8747414046487776
f__30,-18.123728172098538,28.41189284679469,1.8523370424614658,-79.35296487362179,1.4970172769768277,2.0033738295826553,1.4838426718694906
f__31,19.09696645298949,30.880612383548314,1.9874669099468683,-1.9705293812927305,84.0452635028166,2.0648436060064164,1.4722419606781616
f__32,-12.215040433359736,19.173800220941295,1.3944098067225776,-50.60317441035086,1.2704163483919686,1.990840043496444,1.5013837000608083
f__33,-34.35100242269459,51.76630952814096,3.5342617379798833,-142.3368738210069,1.0960814434229649,2.1364843080559766,1.4557551212718345
f__34,-40.86903882068048,62.182929340533065,5.038924402436631,-135.74153856189017,1.0872197854112573,1.9313750763933524,1.539758360026712
f__35,165.24142225728863,210.55456179046237,17.826267609211435,-1.7937057985350418,540.9374284294202,1.4241042450464645,1.9850727542138655
f__36,-14.936865032477447,20.37502381299374,1.4627169064826175,-58.85832414044685,1.4959994621712693,1.6944075739566116,1.6411600929558494
f__37,-10.04031327935931,18.004999037244804,1.1207030148350194,-45.53144583818518,2.5132020860976376,2.5557920158305985,1.3513541915135991
f__38,-42.573566903257685,64.74716497372978,4.576583573696279,-163.61792996446127,2.8443437336801134,2.017875921631812,1.504362648187557
f__39,-74.96167765803277,108.62911847705,8.305858503492923,-286.58280949056285,1.317608716204635,1.8523070956093433,1.5874277030847808
f__40,-21.401908933832445,33.45029845718153,2.243908723119838,-91.9688408641054,2.949283111914401,2.1528867213046334,1.4412100643428467
f__41,-44.810264266883735,60.29868934655682,4.806095018110453,-162.18198000221946,1.1494790378488278,1.525788631562432,1.8195075652888941
f__42,-27.98633070408218,34.71343865711095,2.7763435969325294,-97.38075837275059,0.6201255137018402,1.418356064800062,1.971763597852071
f__43,4.639865687927744,8.398735320468997,0.4679951287924894,-3.0594404153042283,21.701062465505515,2.788333431724661,1.304721689400156
f__44,-12.903943866173215,18.40377850490012,1.318484952897013,-51.874700181702465,1.0698791125564315,1.7533693518861801,1.6112820609739018
f__45,-28.555373907313303,37.55625722733001,2.872294043302417,-103.19373136469709,2.383748492913094,1.6083855574184083,1.7266550571196466
f__46,-12.53293427722174,24.735647095154928,1.5632803760257334,-57.035158258022896,1.9968685369737194,3.2819014798169683,1.2736914235936576
f__47,7.994022766149706,13.34226490034615,0.8417509322431427,-1.9776823775164691,35.92453531301853,2.500194570505405,1.3522452698403835
f__48,-36.34025506403959,56.591806168946725,4.280033345513851,-127.20316305359727,1.6644655625640885,1.9786876203995785,1.51855422212995
f__49,57.239022042376206,76.16874483152358,6.166342289873716,-1.2923832262957389,198.3102674206534,1.5357325501943029,1.810624265601355
f__50,28.186256729615298,42.928217318669326,3.406909127051614,-3.0326597890325946,99.86865482679025,1.8404345779749332,1.59362334049452
f__51,-35.12504279146751,46.485497494509104,3.545720984974193,-128.99199960804557,0.7252118677523135,1.5530474331614756,1.7791967351654416
f__52,-12.38350763411351,18.39814995052215,1.3763016394448047,-47.50626135297563,1.1697511597169261,1.9076257634472706,1.5525256808634118
f__53,40.42833375318811,67.98733616345045,4.760605368617233,-1.9229749070851059,158.67011340859915,2.291591770273986,1.414233304594684
f__54,-53.86045714205936,78.50191175464828,5.514332950006603,-221.9645926449447,2.1861644071159754,1.8492330216703265,1.5532420222549315
f__55,-48.736007988411686,68.09878082013499,5.14142304239161,-183.0607777804219,1.5682106377386318,1.624142638212789,1.7160361802250281
f__56,-33.387328425756564,53.661460799172744,4.142559395676769,-117.43258340626477,2.3486477674203607,2.139191091172324,1.4718536793677433
f__57,23.517369183803513,30.665811981789037,2.461089824989919,-0.917712336754728,83.1693256554848,1.4870296351035877,1.8601149586880756
f__58,102.86002059305966,136.47374918550938,11.269760691217684,-2.9517007918178493,338.37083000234213,1.5226341677166864,1.8429654546559324
f__59,-134.31837050708427,180.92224930980493,14.500689304437142,-451.65536904446105,1.4785379821023712,1.569200466540192,1.7780817782989047
f__60,-36.75759035842002,45.74489209634514,3.604792498315132,-126.96149477056822,0.8604830765758823,1.447012757640834,1.903634591042606
